S&P Capital IQ - Standard,2014 FQ1,2014 FQ3,2014 FQ4,2015 FQ1,2015 FQ3,2015 FQ4,2016 FQ1,2016 FQ3,2016 FQ4,2017 FQ1,2017 FQ3,2017 FQ4,2018 FQ1,2018 FQ3,2018 FQ4,2019 FQ1,2019 FQ3,2019 FQ4,2020 FQ1,2020 FQ4,2021 FQ1,2021 FQ4,2022 FQ1,2022 FQ4,2023 FQ1,2023 FQ4,2024 FQ1,2024 FQ4,2025 FQ1,2025 FQ4,2026 FQ1
Period Ended,2014-03-31 00:00:00,2014-09-30 00:00:00,2014-12-31 00:00:00,2015-03-31 00:00:00,2015-09-30 00:00:00,2015-12-31 00:00:00,2016-03-31 00:00:00,2016-09-30 00:00:00,2016-12-31 00:00:00,2017-03-31 00:00:00,2017-09-30 00:00:00,2017-12-31 00:00:00,2018-03-31 00:00:00,2018-09-30 00:00:00,2018-12-31 00:00:00,2019-03-31 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Currency,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR
Units,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute
Spot Exchange Rate,9.638399176,10.08552578,10.192679781,10.083877732,10.315724892999999,10.199460916,10.268348233,9.988304620000001,9.781231097,9.41062844,9.817523185,9.80911983,10.373328231999999,10.561370816,10.119662096,10.323171822,9.884359261,10.221445088,10.632561423,11.18549153,11.165048988,11.728678021999999,11.970188804,11.999101084000001,11.954929249000001,11.738876588,11.539173187000001,11.724678385,11.775194653,12.846948988000001,13.594474005
Average Exchange Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gain/loss on Disposal of Assets,,,,,,,,,2725920.730693345,,827924.5911464224,-340790.5010490243,1220010.0378974248,-34440521.87131143,44292281.39839695,52282.01338767366,155182758.67281532,29236114.922389597,-1160858.9094641851,301625843.04580146,85485676.22227213,-553022868.0419796,30616032.082400873,,,,,,,,
"Gain on Disposal of Assets (loss Is Indicated with ""-"")",,,,,,,,,,,,,,,,,,,,,,,,,182646445.02072737,,,-11894854.939704461,1336151.3551068201,37172172.715890855,14226774.742130958
Gain on Disposal of Assets (loss Indicated with -),,,,,,,,,,,,,,,,,,,,,,,,,,,-82509.58856459294,,,,
"Assets Disposal Revenue/gain (loss Expressed with ""-"")",,,,,,,,,,-9689865.3123859,,,,,,,,,,,,,,,,,,,,,
Gain from Disposal of Assets (fill Loss with -),,,,,,,,,,,,,,,,,,,,,,,,95553.16160828224,,,,,,,
Earnings before Taxes,1876538048.2153816,1941687714.698955,2133884780.0932736,743154528.2950169,204488421.03093997,485839055.98390305,843422442.2075113,1132925270.6934204,-922101981.1755586,1265385383.5796885,787739554.3331963,463759906.97544396,1571226628.888363,321408782.9116695,-4627756288.239607,2193883105.1297665,12739350678.407871,-11378451058.828255,1043974783.6472619,1984191570.7418988,2603995810.4749575,83701417.83891279,2200315607.732016,2349540504.718636,3534434442.6188335,-7586316316.395733,3122374983.368126,1319633842.6062422,2936564939.9187546,2513389618.336353,6558790375.438605
Taxes and Other Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provision for Income Tax,-518022981.81487894,-556319492.1531863,-951620084.9329501,-322878299.17808354,-290729821.3179579,-108258877.85730262,-405463346.76896745,-414138537.8128676,-78309409.62651895,-509508725.4643058,-386397089.0869958,51506986.38480616,-220600920.0504652,-59085001.28982609,-476022994.9107827,-592292936.3224727,-455261523.3058076,-339894172.2497195,-500963002.2893677,-570717870.5676539,-507006610.37524617,-628621607.6033967,-572713488.9315138,-513857549.3785558,-646933787.2481992,1068723975.8157938,-279699751.2557636,-369620010.7686633,-619231457.4979856,-1492983537.3484867,-1684531485.0542095
Minority Interest (After Tax),-629975665.887794,-806171498.4833207,-358067274.80513525,-369271381.103885,-247212973.0966042,-284405806.1483206,-375603885.8154198,-612284530.8991762,-226472130.7038206,-691584203.932766,-483744873.2811257,-432324981.63185275,-1238689678.0072632,-343977362.795439,48121397.79939064,-1274021103.2334244,-399513264.8979257,-158111811.62039983,-1302292517.754475,-578036972.0083691,-693287103.516393,397458819.2154244,-10084410.047893362,56540137.2398697,-110384409.41110334,230792461.83930418,25170343.546338733,56782560.788358405,-30270750.06471832,4505374.778521057,-38828562.48258161
Net Income (Loss),728539400.5127088,579196724.062448,824197420.3551885,51004848.0130483,-333454373.3836221,93174371.97827984,62355209.62312406,106502201.98137666,-1226883521.505898,64292454.18261682,-82402408.0349251,82941911.72839743,111936030.8306347,-81653581.17359556,-5055657885.350999,327569065.5738695,11884575890.204136,-11876457042.698372,-759280736.3965807,835436728.1658758,1403702096.5833187,-147461370.5490594,1617517708.7526088,1892223092.5799499,2777116245.959531,-6286799878.740635,2867845575.658701,1006796392.6259373,2287062732.3560505,1024911455.7663876,4835430327.901814
